   h    k    l      d(Å)      F(real)      F(imag)          |F|         2θ          I    M
   2    6    0   2.140293   -37.451825    -0.181103      37.4523   42.22303    0.60350    4
   1   10   -3   2.135375   -33.027118    -0.112929      33.0273   42.32496    0.46679    4
   1    5   -4   2.132517     8.009366     0.025629      8.00941   42.38441    0.02737    4
   1    7    3   2.132298   -13.222576     0.035543      13.2226   42.38897    0.07457    4
   2    3    1   2.129871    -3.699522    -0.008978      3.69953   42.43962    0.00582    4
   2    5   -2   2.127892    15.461240     0.070682      15.4614   42.48099    0.10146    4
   1   11    2   2.117609    77.243961     0.267465      77.2444   42.69736    2.50370    4
   0   15    1   2.107708    29.336232     0.131286      29.3365   42.90784    0.35717    4
   2    7   -1   2.104832    -1.533077    -0.000993      1.53308   42.96936    0.00097    4
   1   13    1   2.102928     2.647859     0.035564       2.6481   43.01021    0.00289    4
   2    4    1   2.098465     5.734789     0.056695      5.73507   43.10625    0.01351    4
   0    7    4   2.088008    11.688525     0.052596      11.6886   43.33303    0.05546    4
   1    6   -4   2.083600     1.180276     0.053607      1.18149   43.42935    0.00056    4
   2    7    0   2.082224   -25.061212    -0.094319      25.0614   43.45950    0.25328    4
   2    6   -2   2.079285   -31.606739    -0.131397       31.607   43.52406    0.40152    4
   0   14    2   2.076838     1.406019     0.047468      1.40682   43.57796    0.00079    4
   1   14    0   2.075411   -23.551583    -0.078017      23.5517   43.60947    0.22196    4
   1    8    3   2.066429   -48.146497    -0.188824      48.1469   43.80880    0.91814    4
   1   14   -1   2.061037     7.526671     0.042209      7.52679   43.92937    0.02230    4
   2    5    1   2.060056    16.053632     0.062378      16.0538   43.95138    0.10133    4
   1   13   -2   2.059013    23.795561     0.042674      23.7956   43.97481    0.22237    4
   2    1   -3   2.046190   -12.618918    -0.050773       12.619   44.26491    0.06162    4
   1   11   -3   2.044440   -35.612524    -0.067678      35.6126   44.30480    0.48975    4
   0   12    3   2.042957   -31.548151    -0.206239      31.5488   44.33867    0.38369    4
   2    8   -1   2.041402    10.230070     0.055158      10.2302   44.37425    0.04027    4
   2    2   -3   2.034094    -6.557781    -0.000201      6.55778   44.54220    0.01641    4
   1    7   -4   2.029911     8.370984     0.083324       8.3714   44.63892    0.02661    4
   0   16    0   2.028125   -13.411261    -0.063275      13.4114   44.68034    0.03407    2
   0    8    4   2.026042   -11.453822    -0.037176      11.4539   44.72878    0.04958    4
   2    7   -2   2.025920    -2.141008    -0.030883      2.14123   44.73159    0.00173    4
   1   12    2   2.020948    27.223256     0.050214      27.2233   44.84764    0.27843    4
   2    8    0   2.020757   -36.241644    -0.153622       36.242   44.85211    0.49336    4
   2    6    1   2.015856    30.042242     0.100332      30.0424   44.96709    0.33706    4
   2    3   -3   2.014402    24.514679     0.104285      24.5149   45.00133    0.22405    4
   1    9    3   1.998684   -16.115594    -0.064152      16.1157   45.37487    0.09503    4
   1   14    1   1.992968    -3.946069     0.018496      3.94611   45.51231    0.00566    4
   2    4   -3   1.987771   -19.907287    -0.139285      19.9078   45.63802    0.14314    4
   0   16    1   1.982078   -19.807858    -0.075528       19.808   45.77654    0.14074    4
   2    9   -1   1.976012   -11.907702    -0.076645      11.9079   45.92508    0.05049    4
   1    8   -4   1.972837    -3.706707    -0.006233      3.70671   46.00324    0.00487    4
   2    8   -2   1.969173    -1.124570    -0.028300      1.12493   46.09376    0.00045    4
   2    7    1   1.967116    81.045772     0.239993      81.0461   46.14473    2.31379    4
   0   15    2   1.963490     8.222257    -0.043643      8.22237   46.23490    0.02371    4
   1   15    0   1.962284   -10.633418    -0.089432      10.6338   46.26497    0.03960    4
   0    9    4   1.962071    -7.001016    -0.058779      7.00126   46.27027    0.01716    4
   2    9    0   1.957270   -34.611507    -0.114789      34.6117   46.39040    0.41695    4
   1   12   -3   1.957056   -51.577915    -0.203391      51.5783   46.39577    0.92568    4
   1   14   -2   1.955469     2.371712     0.012469      2.37174   46.43564    0.00195    4
   1    0    4   1.955249   -10.537883    -0.099565      10.5384   46.44117    0.01928    2
   2    5   -3   1.955033   -22.563127    -0.050485      22.5632   46.44660    0.17671    4
   1    1    4   1.951709     5.502705     0.041989      5.50286   46.53034    0.01047    4
   2    0    2   1.951682    15.726182     0.072249      15.7263   46.53103    0.04275    2
   1   15   -1   1.950121   -12.014945    -0.039591       12.015   46.57047    0.04981    4
   0   13    3   1.948690     2.795585     0.029555      2.79574   46.60670    0.00269    4
   2    1    2   1.948162    27.862351     0.132576      27.8627   46.62007    0.26719    4
   1    2    4   1.941204    -8.078172    -0.035993      8.07825   46.79709    0.02227    4
   2    2    2   1.937714    11.733438     0.072574      11.7337   46.88643    0.04678    4
   1   10    3   1.930326   -14.216941    -0.016106      14.2169   47.07667    0.06805    4
   1   13    2   1.929561    23.116408     0.106032      23.1167   47.09647    0.17973    4
   1    3    4   1.924067   -19.500994    -0.101132      19.5013   47.23911    0.12704    4
   2    3    2   1.920668    -3.352150    -0.001724      3.35215   47.32781    0.00374    4
   2    6   -3   1.917134    17.003259    -0.006337      17.0033   47.42037    0.09574    4
   2    8    1   1.915044   -22.584187    -0.114797      22.5845   47.47531    0.16846    4
   1    9   -4   1.913631     9.882022     0.069902      9.88227   47.51253    0.03220    4
   2    9   -2   1.910287    -1.417763    -0.031661      1.41812   47.60084    0.00066    4
   2   10   -1   1.909878    -6.474901    -0.019579      6.47493   47.61165    0.01376    4
   1    4    4   1.900820    34.396887     0.148745      34.3972   47.85269    0.38382    4
   2    4    2   1.897542    -6.646053     0.001250      6.64605   47.94052    0.01427    4
   0   10    4   1.897282    27.490830     0.158404      27.4913   47.94750    0.24407    4
   2   10    0   1.892940   -26.021608    -0.071651      26.0217   48.06442    0.21747    4
   1   15    1   1.892163   -14.578085    -0.106017      14.5785   48.08539    0.06819    4
   2    7   -3   1.875065   -39.430816    -0.149009      39.4311   48.55197    0.48803    4
   1   13   -3   1.873719   -38.286515    -0.185280       38.287   48.58912    0.45932    4
   1    5    4   1.872133   -44.479044    -0.231869      44.4796   48.63295    0.61866    4
   0   17    1   1.870285    50.813503     0.239920      50.8141   48.68411    0.80548    4
   2    5    2   1.869001    -7.633170    -0.050350      7.63334   48.71973    0.01815    4
   0    1    5   1.867835    67.183255     0.263228      67.1838   48.75212    1.40359    4
   1   11    3   1.862369   -19.910846    -0.074737       19.911   48.90455    0.12241    4
   2    9    1   1.860751    -1.562284    -0.093893       1.5651   48.94987    0.00075    4
   0   16    2   1.860732   -14.070370    -0.024748      14.0704   48.95039    0.06100    4
   0   14    3   1.860229     9.728346     0.035455      9.72841   48.96451    0.02914    4
   1   15   -2   1.859982   -17.730742    -0.101012       17.731   48.97143    0.09677    4
   1   16    0   1.859706    -3.566186    -0.048999      3.56652   48.97919    0.00391    4
   0    2    5   1.858621    -3.313085     0.039463      3.31332   49.00966    0.00337    4
   1   10   -4   1.853379    -0.149100    -0.045945     0.156018   49.15744    0.00001    4
   1    1   -5   1.851311    -1.748279    -0.019754      1.74839   49.21598    0.00093    4
   2   10   -2   1.850340   -10.161601    -0.032520      10.1617   49.24352    0.03139    4
   1   16   -1   1.849343    -0.126561    -0.008964     0.126878   49.27185    0.00000    4
   2   11   -1   1.843985     0.752208    -0.025019     0.752624   49.42458    0.00017    4
   1   14    2   1.843567    -5.733216    -0.081987       5.7338   49.43655    0.00990    4
   0    3    5   1.843562    -8.565717    -0.100898      8.56631   49.43668    0.02211    4
   1    2   -5   1.842338    -4.323894    -0.041880       4.3241   49.47173    0.00562    4
   1    6    4   1.838774    16.792256     0.044029      16.7923   49.57409    0.08441    4
   2    6    2   1.835806    -4.913519    -0.049987      4.91377   49.65965    0.00720    4
   0   11    4   1.832641    -6.454965    -0.028904      6.45503   49.75123    0.01237    4
   2    8   -3   1.829804    28.467069     0.138955      28.4674   49.83363    0.23974    4
   2   11    0   1.828727    -7.313976    -0.008830      7.31398   49.86498    0.01580    4
   1    3   -5   1.827669     7.165992     0.043814      7.16613   49.89582    0.01515    4
   0    4    5   1.823082     5.617114     0.072483      5.61758   50.02997    0.00925    4
   2    0   -4   1.821115    -1.879332     0.021081      1.87945   50.08774    0.00052    2
   2    1   -4   1.818254    -5.593758    -0.049277      5.59398   50.17200    0.00912    4
   2    2   -4   1.809751     6.327656     0.010501      6.32766   50.42418    0.01153    4
   1    4   -5   1.807708    15.260774     0.139654      15.2614   50.48515    0.06689    4
   2   10    1   1.805215   -11.083449    -0.031951      11.0835   50.55977    0.03516    4
   0   18    0   1.802778    23.092269     0.142486      23.0927   50.63296    0.07607    2
   1    7    4   1.801558   -17.502343    -0.058819      17.5024   50.66967    0.08725    4
